file	maf_empir	maf_cut	n	n_case	n_ctrl
ns_ctrl_afr.tsv.gz	0.00865052	0.00865051903114187	1156	194	962
ns_ctrl_eur.tsv.gz	0.010110999999999981	0.010111223458038422	989	212	777
ns_ctrl_sas.tsv.gz	0.009259000000000017	0.009259259259259259	1080	343	737
ns_ctrl.tsv.gz	0.00222965	0.002229654403567447	4485	932	3553
srns_ctrl_afr.tsv.gz	0.00997009	0.009970089730807577	1003	41	962
srns_ctrl_sas.tsv.gz	0.0133156	0.013315579227696404	751	14	737
srns_ctrl.tsv.gz	0.00266951	0.0026695141484249867	3746	193	3553
ssns_ctrl_afr.tsv.gz	0.009009000000000045	0.009009009009009009	1110	148	962
ssns_ctrl_eur.tsv.gz	0.0109529	0.01095290251916758	913	136	777
ssns_ctrl_sas.tsv.gz	0.00938086	0.009380863039399626	1066	329	737
ssns_ctrl.tsv.gz	0.00233754	0.0023375409069658717	4278	725	3553
ssns_srns.tsv.gz	0.010893000000000042	0.010893246187363835	918	193	725
